,dataset,challenge,balance_class,process_approach,imputation,patient_group,drug_group,train_test_rate,remove_low_DAS,random_state,model_id,MAE,MSE,RMSE,R2,Pearson_Correlation,Accuracy,F1-Score
38,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.6333333333333333,0.5956349206349207
39,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.4666666666666667,0.4223410576351753
40,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.3870967741935484,0.3703703703703704
41,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.3548387096774194,0.3122015915119363
42,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.3225806451612903,0.3027017258516309
43,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.2903225806451613,0.2805860805860805
44,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.5333333333333333,0.493899917287014
45,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.4666666666666667,0.4372046254399195
46,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.4666666666666667,0.420211161387632
47,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.4333333333333333,0.3101851851851852
48,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.5,0.4333333333333333
49,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.5,0.4464285714285714
50,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.5483870967741935,0.5258297258297259
51,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.3548387096774194,0.3386243386243386
52,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.4838709677419355,0.4671160660271368
53,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.4193548387096774,0.4167901234567902
54,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.4333333333333333,0.3889693808557906
55,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.4666666666666667,0.4322775263951735
56,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.5,0.4426178660049627
57,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.4333333333333333,0.3798144787255495
58,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.5,0.4444444444444444
59,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.4666666666666667,0.4679370840895342
60,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base XGBoost,,,,,,0.5161290322580645,0.4971916971916971
61,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base XGBoost,,,,,,0.4193548387096774,0.367063492063492
62,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base XGBoost,,,,,,0.4516129032258064,0.4059397392730726
63,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base XGBoost,,,,,,0.3225806451612903,0.2766148325358852
64,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base XGBoost,,,,,,0.4333333333333333,0.3863636363636364
65,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base XGBoost,,,,,,0.4666666666666667,0.4761904761904762
66,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base XGBoost,,,,,,0.4333333333333333,0.4087369420702754
67,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base XGBoost,,,,,,0.3666666666666666,0.2927350427350427
68,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base XGBoost,,,,,,0.6333333333333333,0.6098765432098765
69,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base XGBoost,,,,,,0.3666666666666666,0.3240864527629233
70,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base XGBoost,,,,,,0.2580645161290322,0.2572463768115942
71,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base XGBoost,,,,,,0.4516129032258064,0.4292929292929293
72,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base XGBoost,,,,,,0.3870967741935484,0.3885225885225885
73,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base XGBoost,,,,,,0.4838709677419355,0.4638047138047138
74,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base XGBoost,,,,,,0.5,0.5036665738420124
75,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base XGBoost,,,,,,0.4,0.3862433862433862
76,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base XGBoost,,,,,,0.4666666666666667,0.4197817057857626
77,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base XGBoost,,,,,,0.3666666666666666,0.2719298245614035
78,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base XGBoost,,,,,,0.5333333333333333,0.504777241009125
79,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base XGBoost,,,,,,0.5333333333333333,0.5052910052910053
80,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base XGBoost,,,,,,0.4516129032258064,0.4444444444444444
81,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base XGBoost,,,,,,0.4193548387096774,0.4275362318840579
